make,model,equipment_type,quantity,year_start,year_end,color,fuel_type
John Deere,210LE,Backhoe Loader,2,2001,2008,Yellow,Diesel
John Deere,5065E,Tractor,1,2006,2012,Green,Diesel
John Deere,6615,Tractor,1,2002,2006,Green,Diesel
New Holland,TM135,Tractor,1,2003,2009,Blue,Diesel
Landini,Legend 145,Tractor,1,2000,2007,Wine Red,Diesel
Cat,226B,Skid Steer,2,2004,2012,Yellow,Diesel
Cat,246C,Skid Steer,2,2009,2015,Yellow,Diesel
Cat,312B,Excavator,1,2000,2006,Yellow,Diesel
Cat,320C,Excavator,1,2002,2008,Yellow,Diesel
Cat,416C,Backhoe,1,2000,2007,Yellow,Diesel
Cat,D4H,Dozer,1,1988,1996,Yellow,Diesel
Cat,GP15N,Forklift,1,2001,2010,Yellow,Propane
Vermeer,BC1000XL,Wood Chipper,1,2004,2014,Yellow,Diesel
Toyota,Tacoma Gen 1,Pickup Truck,6,1997,2004,,Gasoline
Toyota,Sienna Gen 1,Van,3,1998,2003,,Gasoline
Toyota,Sienna Gen 2,Van,3,2004,2010,,Gasoline
Toyota,Corolla,Car,2,2005,2013,,Gasoline
Toyota,Camry,Car,2,2007,2014,,Gasoline
Ford,F-150,Pickup Truck,1,2001,2005,,Gasoline
Ford,F-250,Pickup Truck (Diesel),1,2005,2009,,Diesel
Dodge,Ram 3500,Pickup Truck (Diesel),1,1999,2003,,Diesel
Nissan,Frontier I4,Pickup Truck,2,2000,2008,,Gasoline
Nissan,Frontier V6,Pickup Truck,1,2002,2008,,Gasoline
GMC,Savana 2500,Van,1,2003,2009,,Gasoline
Isuzu,FTR,Flatbed Truck,1,2006,2014,White,Diesel
Isuzu,NPR,Flatbed Truck,1,2000,2010,White,Diesel
Kenworth,T370,Dump Truck,2,2008,2015,White,Diesel
International,4300,Water Truck,1,2002,2012,White,Diesel
Honda,EM5000SX,Generator,2,2004,2012,Red,Gasoline
Generac,GP17500E,Generator,2,2006,2014,Orange,Gasoline
Multiquip,DCA25,Generator,2,2003,2012,White,Diesel
Kawasaki,KBH27A,Trimmer,8,2004,2015,Green,2-Stroke Mix
Echo,PB-580,Blower,2,2005,2013,Orange,2-Stroke Mix
Stihl,MS 291,Chainsaw,5,2005,2015,Orange,2-Stroke Mix
Stihl,MS 661,Chainsaw,1,2006,2014,Orange,2-Stroke Mix
Honda,HRX217,Push Mower,2,2002,2012,Red,Gasoline
Simpson,MSH3125,Pressure Washer,2,2004,2014,Red,Gasoline
Ingersoll Rand,SS5L5,Air Compressor,1,2001,2008,Beige,Electric
Ingersoll Rand,P1.5IU,Air Compressor,2,2002,2010,Beige,Electric
DeWalt,DWFP55126,Air Compressor,2,2005,2013,Yellow,Electric
Lincoln Electric,SA-200,Welder,1,1990,2000,Red,Gasoline
Miller,Trailblazer 325,Welder,1,2003,2010,Blue,Gasoline
Suzuki,Carry,Mini Truck,3,1995,1998,White,Gasoline
Genie,Z-34/22,Boom Lift,1,2003,2012,Blue/Grey,Diesel/Propane
